	IntGW-01_Gi2	IntGW-01_Gi3	IntGW-01_Gi5	IntGW-01_Gi6	IntGW-01_Gi7	IntGW-02_Gi2	IntGW-02_Gi3	IntGW-02_Gi5	IntGW-02_Gi6	IntGW-02_Gi7	RR-01_Gi2	RR-01_Gi3	TR-01_Gi2	TR-01_Gi3	TR-01_Gi4	TR-01_Gi5	TR-01_Gi6	TR-02_Gi2	TR-02_Gi3	TR-02_Gi4	TR-02_Gi5	TR-02_Gi6	timestamp
0	64.66923169202842	64.66923169202842	64.66923169202842	64.66923169202842	64.66923169202842	64.9233920639899	64.9233920639899	64.9233920639899	64.9233920639899	64.9233920639899	41.94062793711476	41.94062793711476	58.12772703662704	58.12772703662704	58.12772703662704	58.12772703662704	58.12772703662704	53.06951897824664	53.06951897824664	53.06951897824664	53.06951897824664	53.06951897824664	20200629105300
1	63.82755382739057	63.82755382739057	63.82755382739057	63.82755382739057	63.82755382739057	63.61118923814517	63.61118923814517	63.61118923814517	63.61118923814517	63.61118923814517	41.895674021381716	41.895674021381716	57.761023613548616	57.761023613548616	57.761023613548616	57.761023613548616	57.761023613548616	52.385195742297725	52.385195742297725	52.385195742297725	52.385195742297725	52.385195742297725	20200629105400
2	64.80721989500495	64.80721989500495	64.80721989500495	64.80721989500495	64.80721989500495	64.62353542738191	64.62353542738191	64.62353542738191	64.62353542738191	64.62353542738191	42.25577684728422	42.25577684728422	58.39496211616395	58.39496211616395	58.39496211616395	58.39496211616395	58.39496211616395	53.05141396712979	53.05141396712979	53.05141396712979	53.05141396712979	53.05141396712979	20200629105500
3	64.15481645323304	64.15481645323304	64.15481645323304	64.15481645323304	64.15481645323304	64.05874504373864	64.05874504373864	64.05874504373864	64.05874504373864	64.05874504373864	42.05421525171887	42.05421525171887	57.889289747077065	57.889289747077065	57.889289747077065	57.889289747077065	57.889289747077065	52.6680174919471	52.6680174919471	52.6680174919471	52.6680174919471	52.6680174919471	20200629105600
4	64.05769717987808	64.05769717987808	64.05769717987808	64.05769717987808	64.05769717987808	63.28436481955762	63.28436481955762	63.28436481955762	63.28436481955762	63.28436481955762	41.89299388488684	41.89299388488684	57.59663004042649	57.59663004042649	57.59663004042649	57.59663004042649	57.59663004042649	52.2415113302504	52.2415113302504	52.2415113302504	52.2415113302504	52.2415113302504	20200629105700
5	64.72318371705039	64.72318371705039	64.72318371705039	64.72318371705039	64.72318371705039	64.95209344018318	64.95209344018318	64.95209344018318	64.95209344018318	64.95209344018318	42.04031115207549	42.04031115207549	57.277374722786156	57.277374722786156	57.277374722786156	57.277374722786156	57.277374722786156	53.082083797007314	53.082083797007314	53.082083797007314	53.082083797007314	53.082083797007314	20200629105800
6	0.0	0.0	0.0	0.0	0.0	67.98344676804159	67.98344676804159	67.98344676804159	67.98344676804159	67.98344676804159	42.46272927243445	42.46272927243445	51.347965277640974	51.347965277640974	51.347965277640974	51.347965277640974	51.347965277640974	47.15595649569738	47.15595649569738	47.15595649569738	47.15595649569738	47.15595649569738	20200629110100
7	0.0	0.0	0.0	0.0	0.0	68.8498094243299	68.8498094243299	68.8498094243299	68.8498094243299	68.8498094243299	42.6535822633654	42.6535822633654	52.948841772010184	52.948841772010184	52.948841772010184	52.948841772010184	52.948841772010184	48.280207228471966	48.280207228471966	48.280207228471966	48.280207228471966	48.280207228471966	20200629110200
8	63.3795387620903	63.3795387620903	63.3795387620903	63.3795387620903	63.3795387620903	64.48622484210325	64.48622484210325	64.48622484210325	64.48622484210325	64.48622484210325	41.75563883914052	41.75563883914052	57.76735542000213	57.76735542000213	57.76735542000213	57.76735542000213	57.76735542000213	52.15517207791393	52.15517207791393	52.15517207791393	52.15517207791393	52.15517207791393	20200629110500
9	63.70790330498602	63.70790330498602	63.70790330498602	63.70790330498602	63.70790330498602	64.56623084460846	64.56623084460846	64.56623084460846	64.56623084460846	64.56623084460846	42.04554952587403	42.04554952587403	57.9704420328496	57.9704420328496	57.9704420328496	57.9704420328496	57.9704420328496	52.499645627392006	52.499645627392006	52.499645627392006	52.499645627392006	52.499645627392006	20200629110600
