	status	node	interface	original_sp	sp	timestamp
0	0.0					20200629105300
1	0.0					20200629105400
2	0.0					20200629105500
3	0.0					20200629105600
4	0.0					20200629105700
5	0.0					20200629105800
6	3.0	IntGW-01				20200629110100
7	3.0	IntGW-01				20200629110200
8	0.0					20200629110500
9	0.0					20200629110600
10	0.0					20200629110700
11	0.0					20200629110800
12	3.0	IntGW-02				20200629111100
13	3.0	IntGW-02				20200629111200
14	0.0					20200629111500
15	0.0					20200629111600
16	0.0					20200629111700
17	0.0					20200629111800
18	0.0					20200629111900
19	3.0	RR-01				20200629112200
20	3.0	RR-01				20200629112300
21	0.0					20200629112600
22	0.0					20200629112700
23	0.0					20200629112800
24	0.0					20200629112900
25	3.0	TR-01				20200629113200
26	3.0	TR-01				20200629113300
27	0.0					20200629113600
28	0.0					20200629113700
29	0.0					20200629113800
30	0.0					20200629113900
31	3.0	TR-02				20200629114200
32	3.0	TR-02				20200629114300
33	3.0	TR-02				20200629114400
34	0.0					20200629114700
35	0.0					20200629114800
36	0.0					20200629114900
37	0.0					20200629115000
38	4.0	IntGW-01	GigabitEthernet5			20200629115300
39	4.0	IntGW-01	GigabitEthernet5			20200629115400
40	0.0					20200629115700
41	0.0					20200629115800
42	0.0					20200629115900
43	0.0					20200629120000
44	4.0	IntGW-01	GigabitEthernet6			20200629120300
45	4.0	IntGW-01	GigabitEthernet6			20200629120400
46	0.0					20200629120700
47	0.0					20200629120800
48	0.0					20200629120900
49	0.0					20200629121000
50	4.0	IntGW-01	GigabitEthernet7			20200629121300
51	4.0	IntGW-01	GigabitEthernet7			20200629121400
52	0.0					20200629121700
53	0.0					20200629121800
54	0.0					20200629121900
55	0.0					20200629122000
56	4.0	IntGW-01	GigabitEthernet2			20200629122300
57	4.0	IntGW-01	GigabitEthernet2			20200629122400
58	0.0					20200629122700
59	0.0					20200629122800
60	0.0					20200629122900
61	0.0					20200629123000
62	0.0					20200629123100
63	4.0	IntGW-01	GigabitEthernet3			20200629123400
64	4.0	IntGW-01	GigabitEthernet3			20200629123500
65	0.0					20200629123800
66	0.0					20200629123900
67	0.0					20200629124000
68	0.0					20200629124100
69	4.0	IntGW-02	GigabitEthernet5			20200629124400
70	4.0	IntGW-02	GigabitEthernet5			20200629124500
71	0.0					20200629124800
72	0.0					20200629124900
73	0.0					20200629125000
74	0.0					20200629125100
75	4.0	IntGW-02	GigabitEthernet6			20200629125400
76	4.0	IntGW-02	GigabitEthernet6			20200629125500
77	0.0					20200629125800
78	0.0					20200629125900
79	0.0					20200629130000
80	0.0					20200629130100
81	4.0	IntGW-02	GigabitEthernet7			20200629130400
82	4.0	IntGW-02	GigabitEthernet7			20200629130500
83	0.0					20200629130800
84	0.0					20200629130900
85	0.0					20200629131000
86	0.0					20200629131100
87	4.0	IntGW-02	GigabitEthernet2			20200629131400
88	4.0	IntGW-02	GigabitEthernet2			20200629131500
89	4.0	IntGW-02	GigabitEthernet2			20200629131600
90	0.0					20200629131900
91	0.0					20200629132000
92	0.0					20200629132100
93	0.0					20200629132200
94	4.0	IntGW-02	GigabitEthernet3			20200629132500
95	4.0	IntGW-02	GigabitEthernet3			20200629132600
96	0.0					20200629132900
97	0.0					20200629133000
98	0.0					20200629133100
99	0.0					20200629133200
100	4.0	RR-01	GigabitEthernet2			20200629133500
101	4.0	RR-01	GigabitEthernet2			20200629133600
102	0.0					20200629133900
103	0.0					20200629134000
104	0.0					20200629134100
105	0.0					20200629134200
106	4.0	RR-01	GigabitEthernet3			20200629134500
107	4.0	RR-01	GigabitEthernet3			20200629134600
108	0.0					20200629134900
109	0.0					20200629135000
110	0.0					20200629135100
111	0.0					20200629135200
112	4.0	TR-01	GigabitEthernet2			20200629135500
113	4.0	TR-01	GigabitEthernet2			20200629135600
114	0.0					20200629135900
115	0.0					20200629140000
116	0.0					20200629140100
117	0.0					20200629140200
118	4.0	TR-01	GigabitEthernet3			20200629140500
119	4.0	TR-01	GigabitEthernet3			20200629140600
120	4.0	TR-01	GigabitEthernet3			20200629140700
121	0.0					20200629141000
122	0.0					20200629141100
123	0.0					20200629141200
124	0.0					20200629141300
125	4.0	TR-01	GigabitEthernet4			20200629141600
126	4.0	TR-01	GigabitEthernet4			20200629141700
127	0.0					20200629142000
128	0.0					20200629142100
129	0.0					20200629142200
130	0.0					20200629142300
131	4.0	TR-01	GigabitEthernet6			20200629142600
132	4.0	TR-01	GigabitEthernet6			20200629142700
133	0.0					20200629143000
134	0.0					20200629143100
135	0.0					20200629143200
136	0.0					20200629143300
137	4.0	TR-01	GigabitEthernet5			20200629143600
138	4.0	TR-01	GigabitEthernet5			20200629143700
139	0.0					20200629144000
140	0.0					20200629144100
141	0.0					20200629144200
142	0.0					20200629144300
143	4.0	TR-02	GigabitEthernet2			20200629144600
144	4.0	TR-02	GigabitEthernet2			20200629144700
145	0.0					20200629145000
146	0.0					20200629145100
147	0.0					20200629145200
148	0.0					20200629145300
149	4.0	TR-02	GigabitEthernet3			20200629145600
150	4.0	TR-02	GigabitEthernet3			20200629145700
151	4.0	TR-02	GigabitEthernet3			20200629145800
152	0.0					20200629150100
153	0.0					20200629150200
154	0.0					20200629150300
155	0.0					20200629150400
156	4.0	TR-02	GigabitEthernet4			20200629150700
157	4.0	TR-02	GigabitEthernet4			20200629150800
158	0.0					20200629151100
159	0.0					20200629151200
160	0.0					20200629151300
161	0.0					20200629151400
162	4.0	TR-02	GigabitEthernet6			20200629151700
163	4.0	TR-02	GigabitEthernet6			20200629151800
164	0.0					20200629152100
165	0.0					20200629152200
166	0.0					20200629152300
167	0.0					20200629152400
168	4.0	TR-02	GigabitEthernet5			20200629152700
169	4.0	TR-02	GigabitEthernet5			20200629152800
170	0.0					20200629153100
171	0.0					20200629153200
172	0.0					20200629153300
173	0.0					20200629153400
174	5.0	IntGW-01	GigabitEthernet5			20200629153700
175	5.0	IntGW-01	GigabitEthernet5			20200629153800
176	5.0	IntGW-01	GigabitEthernet5			20200629153900
177	0.0					20200629154200
178	0.0					20200629154300
179	0.0					20200629154400
180	0.0					20200629154500
181	5.0	IntGW-01	GigabitEthernet6			20200629154800
182	5.0	IntGW-01	GigabitEthernet6			20200629154900
183	0.0					20200629155200
184	0.0					20200629155300
185	0.0					20200629155400
186	0.0					20200629155500
187	5.0	IntGW-01	GigabitEthernet7			20200629155800
188	5.0	IntGW-01	GigabitEthernet7			20200629155900
189	5.0	IntGW-01	GigabitEthernet7			20200629160000
190	0.0					20200629160300
191	0.0					20200629160400
192	0.0					20200629160500
193	0.0					20200629160600
194	5.0	IntGW-01	GigabitEthernet2			20200629160900
195	5.0	IntGW-01	GigabitEthernet2			20200629161000
196	0.0					20200629161300
197	0.0					20200629161400
198	0.0					20200629161500
199	0.0					20200629161600
200	5.0	IntGW-01	GigabitEthernet3			20200629161900
201	5.0	IntGW-01	GigabitEthernet3			20200629162000
202	5.0	IntGW-01	GigabitEthernet3			20200629162100
203	0.0					20200629162400
204	0.0					20200629162500
205	0.0					20200629162600
206	0.0					20200629162700
207	5.0	IntGW-02	GigabitEthernet5			20200629163000
208	5.0	IntGW-02	GigabitEthernet5			20200629163100
209	0.0					20200629163400
210	0.0					20200629163500
211	0.0					20200629163600
212	0.0					20200629163700
213	5.0	IntGW-02	GigabitEthernet6			20200629164000
214	5.0	IntGW-02	GigabitEthernet6			20200629164100
215	5.0	IntGW-02	GigabitEthernet6			20200629164200
216	0.0					20200629164500
217	0.0					20200629164600
218	0.0					20200629164700
219	0.0					20200629164800
220	5.0	IntGW-02	GigabitEthernet7			20200629165100
221	5.0	IntGW-02	GigabitEthernet7			20200629165200
222	0.0					20200629165500
223	0.0					20200629165600
224	0.0					20200629165700
225	0.0					20200629165800
226	5.0	IntGW-02	GigabitEthernet2			20200629170100
227	5.0	IntGW-02	GigabitEthernet2			20200629170200
228	5.0	IntGW-02	GigabitEthernet2			20200629170300
229	0.0					20200629170600
230	0.0					20200629170700
231	0.0					20200629170800
232	0.0					20200629170900
233	5.0	IntGW-02	GigabitEthernet3			20200629171200
234	5.0	IntGW-02	GigabitEthernet3			20200629171300
235	0.0					20200629171600
236	0.0					20200629171700
237	0.0					20200629171800
238	0.0					20200629171900
239	5.0	RR-01	GigabitEthernet2			20200629172200
240	5.0	RR-01	GigabitEthernet2			20200629172300
241	5.0	RR-01	GigabitEthernet2			20200629172400
242	0.0					20200629172700
243	0.0					20200629172800
244	0.0					20200629172900
245	0.0					20200629173000
